Module,Total Area,Total Power,Total Dynamic Power,Total Static Power,Total Path Delay (ps)
TOP_NbitAdder,39.6,2.10726e-06,2.1021e-06,5.14955e-09,387.0
TOP_nBitDivider,598.32,0.00172664,1.7266e-03,5.28984e-08,305.0
TOP_nbitCounter,318.6,0.000962079,9.6205e-04,2.96059e-08,271.0
TOP_nbitFlipFlop,30.96,0.000187208,1.8720e-04,3.25274e-09,147.0
TOP_nbitRegister,87.48,0.000773998,7.7399e-04,6.35047e-09,109.0
TOP_RAM,1543.32,0.0108212,1.0821e-02,1.24195e-07,621.0
TOP_HalfAdder,5.76,2.45143e-07,2.4439e-07,7.55969e-10,51.0
TOP_FullAdder,7.56,3.09477e-07,3.0895e-07,5.2858e-10,103.0
TOP_nbitComparator,64.44,2.42349e-06,2.4194e-06,4.07056e-09,411.0
TOP_Nbit_subtractor,63.0,2.698e-06,2.6939e-06,4.1549e-09,654.0
